Last_Updat,Age_F_Less,Age_F_01_0,Age_F_10_1,Age_F_20_2,Age_F_30_3,Age_F_40_4,Age_F_50_5,Age_F_60_6,Age_F_70_7,Age_F_80Pl,Age_F_Unk,Age_M_Less,Age_M_01_0,Age_M_10_1,Age_M_20_2,Age_M_30_3,Age_M_40_4,Age_M_50_5,Age_M_60_6,Age_M_70_7,Age_M_80Pl,Age_M_Unk,Age_Ttl_Le,Age_Ttl_01,Age_Ttl_10,Age_Ttl_20,Age_Ttl_30,Age_Ttl_40,Age_Ttl_50,Age_Ttl_60,Age_Ttl_70,Age_Ttl_80,Age_Ttl_Un,Sex_Ttl_F,Sex_Ttl_M,Sex_Ttl_Un,Race_Asian,Race_Black,Race_White,Race_Other,Race_Unk,Eth_Non_Hi,Eth_Hispan,Eth_Unk,FID,Record_Status,AmerIndAska,PacificIslander
2021/03/06 22:00:00+00,191,1543,4043,10252,8036,5808,4356,2587,1351,1052,0,244,1591,3669,9209,7870,5697,4370,2568,1174,626,0,438,3152,7734,19553,15959,11539,8754,5164,2532,1682,0,39219,37018,270,0.029,0.076,0.571,0.145,0.175,0.359,0.459,0.182,330,Past,0.004,0.001
2021/03/07 22:00:00+00,191,1548,4051,10270,8057,5819,4360,2590,1354,1052,0,244,1595,3671,9225,7879,5703,4380,2575,1175,628,0,438,3161,7745,19587,15989,11556,8768,5174,2536,1684,0,39292,37075,271,0.029,0.076,0.571,0.145,0.175,0.359,0.459,0.182,331,Past,0.004,0.001
2021/03/08 22:00:00+00,191,1553,4059,10281,8062,5825,4366,2591,1355,1051,0,244,1599,3677,9237,7892,5710,4390,2583,1176,629,0,438,3170,7759,19610,16007,11569,8784,5183,2538,1684,0,39334,37137,271,0.029,0.076,0.571,0.145,0.175,0.359,0.459,0.183,332,Past,0.004,0.001
2021/03/09 22:00:00+00,192,1555,4067,10298,8070,5828,4375,2593,1359,1051,0,244,1603,3676,9251,7907,5721,4393,2592,1178,629,0,439,3176,7766,19643,16030,11583,8796,5194,2544,1684,0,39388,37194,273,0.029,0.076,0.571,0.145,0.174,0.359,0.458,0.183,333,Past,0.004,0.001
2021/03/10 22:00:00+00,194,1561,4087,10343,8093,5845,4384,2599,1362,1055,0,245,1612,3687,9281,7925,5730,4399,2597,1180,630,0,442,3191,7797,19718,16071,11609,8811,5205,2549,1689,0,39523,37286,273,0.029,0.076,0.571,0.145,0.174,0.359,0.457,0.183,338,Past,0.004,0.001
2021/03/11 22:00:00+00,194,1563,4097,10365,8103,5854,4392,2604,1363,1056,0,245,1617,3692,9308,7946,5743,4403,2602,1180,630,0,442,3198,7812,19767,16103,11631,8823,5215,2550,1690,0,39591,37366,274,0.029,0.076,0.57,0.145,0.174,0.359,0.457,0.184,339,Past,0.004,0.001
2021/03/12 22:00:00+00,194,1567,4100,10380,8115,5860,4400,2609,1365,1058,0,245,1621,3694,9313,7956,5750,4413,2603,1182,630,0,442,3206,7817,19787,16125,11644,8841,5221,2554,1692,0,39648,37407,274,0.029,0.076,0.571,0.145,0.174,0.36,0.456,0.184,340,Past,0.004,0.001
2021/03/13 22:00:00+00,194,1567,4102,10393,8128,5871,4403,2609,1365,1058,0,247,1624,3699,9324,7965,5752,4413,2605,1183,631,0,444,3209,7825,19811,16147,11657,8844,5223,2555,1693,0,39690,37443,275,0.029,0.076,0.57,0.145,0.174,0.36,0.456,0.184,341,Past,0.004,0.001
2021/03/14 21:00:00+00,194,1570,4107,10411,8134,5878,4405,2609,1365,1058,0,248,1625,3703,9329,7974,5758,4419,2608,1183,632,0,445,3213,7834,19834,16162,11670,8852,5226,2555,1694,0,39731,37479,275,0.029,0.076,0.57,0.145,0.174,0.36,0.456,0.184,342,Past,0.004,0.001
2021/03/15 21:00:00+00,194,1575,4117,10437,8155,5892,4415,2615,1368,1059,0,247,1632,3719,9345,7994,5772,4428,2614,1184,632,0,444,3225,7860,19876,16203,11698,8871,5238,2559,1695,0,39827,37567,275,0.029,0.076,0.57,0.146,0.175,0.36,0.456,0.184,343,Past,0.004,0.001
